Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer
RIB,0.777001594,-2.205857017,78.78930963,RIB-6_RIB-14,FOG_JUG_LAW,FOG-RIB_JUG-RIB_LAW-RIB,FOG-RIB-14_LAW-RIB-14_FOG-RIB-6_JUG-RIB-6,FOG-14_LAW-14_FOG-6_JUG-6,0,outer
TUX,108.4933236,-15.46935902,-22.75135137,TUX-2_TUX-8,ETA_FOX_PAY_GAS,ETA-TUX_FOX-TUX_PAY-TUX_GAS-TUX,ETA-TUX-2_FOX-TUX-2_ETA-TUX-8_PAY-TUX-8_GAS-TUX-11,ETA-2_FOX-2_ETA-8_PAY-8_GAS-11,0,outer
OFF,79.07137459,60.63561298,-81.79092937,OFF-2,ASK_CIS_TAG_FRO_WHO,ASK-OFF_CIS-OFF_OFF-TAG_FRO-OFF_OFF-WHO,ASK-OFF-2_CIS-OFF-2_OFF-TAG-2_FRO-OFF-1_OFF-WHO-2,ASK-2_CIS-2_TAG-2_FRO-1_WHO-1,1,inner
HAM,-78.12024741,6.428795983,43.02018763,HAM-6,ACT_NAN_ZZZ_ICE_ASH,ACT-HAM_HAM-NAN_HAM-ZZZ_HAM-ICE_ASH-HAM,ACT-HAM-6_HAM-NAN-6_HAM-ZZZ-6_HAM-ICE-6_ASH-HAM-12,ACT-6_NAN-6_ZZZ-6_ICE-6_ASH-12,0,outer
CHI,-102.5418844,-38.04451102,-16.48294537,CHI-9,DOG_MAD,CHI-DOG_CHI-MAD,CHI-DOG-9_CHI-MAD-9,DOG-9_MAD-12,0,outer
FIX,74.09911959,-9.163696017,23.39753763,FIX-7_FIX-11,EYE_MAC_POP_AIR_GAS,EYE-FIX_FIX-MAC_FIX-POP_AIR-FIX_FIX-GAS,FIX-MAC-11_AIR-FIX-11_FIX-GAS-11_EYE-FIX-7_FIX-MAC-7_FIX-POP-7,MAC-11_AIR-11_GAS-11_EYE-7_MAC-7_POP-7,0,inner
JAR,84.01051459,-54.19003002,-46.44022937,JAR-8,BAM_HAY_TAR_WIN,BAM-JAR_HAY-JAR_JAR-TAR_JAR-WIN,BAM-JAR-8_HAY-JAR-8_JAR-TAR-8_JAR-WIN-8,BAM-8_HAY-8_TAR-8_WIN-8,0,inner
GIG,41.95506859,-21.83033602,51.21567163,GIG-14_GIG-11,AIR_MAC_EVE_IRE,AIR-GIG_GIG-MAC_EVE-GIG_GIG-IRE,AIR-GIG-11_GIG-MAC-11_EVE-GIG-14_GIG-IRE-14,AIR-11_MAC-11_EVE-14_IRE-14,0,inner
ZIG,-112.1824644,49.38235198,-30.73944437,ZIG-4,DAY_PAW_SAY_OAR,DAY-ZIG_PAW-ZIG_SAY-ZIG_OAR-ZIG,DAY-ZIG-4_PAW-ZIG-4_SAY-ZIG-4_OAR-ZIG-3,DAY-4_PAW-4_SAY-4_OAR-3,0,outer
JAM,30.08529959,-105.085851,49.11054163,JAM-13_JAM-11,ZOO_MOO,JAM-ZOO_JAM-MOO,JAM-ZOO-11_JAM-MOO-13,ZOO-11_MOO-10,0,outer
FIG,-68.95094441,-94.26845802,33.62420063,FIG-12,ART_KEY_NOR_YAK,ART-FIG_FIG-KEY_FIG-NOR_FIG-YAK,ART-FIG-12_FIG-KEY-12_FIG-NOR-12_FIG-YAK-12,ART-12_KEY-12_NOR-12_YAK-12,0,outer
