Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
33448,9,9,USE,WIG,-83.71615507805907,-103.11037272230386,-20.45964505955309
33449,9,9,WIG,WOW,-82.94051518482166,-103.47544392212967,-20.961328249770204
33450,9,9,WIG,WOW,-82.45278995964333,-103.91394684425934,-20.94143512954041
33451,9,9,WIG,WOW,-81.96506473446499,-104.35244976638901,-20.921542009310613
33452,9,9,WIG,WOW,-81.47733950928665,-104.79095268851869,-20.901648889080818
33453,9,9,WIG,WOW,-80.98961428410831,-105.22945561064836,-20.881755768851022
33454,9,9,WIG,WOW,-80.50188905892998,-105.66795853277803,-20.861862648621226
33455,9,9,WIG,WOW,-80.01416383375164,-106.1064614549077,-20.84196952839143
33456,9,9,WIG,WOW,-79.5264386085733,-106.54496437703737,-20.822076408161635
33457,9,9,WIG,WOW,-79.03871338339496,-106.98346729916705,-20.80218328793184
33458,9,9,WIG,WOW,-78.55098815821663,-107.42197022129672,-20.782290167702044
33459,9,9,WIG,WOW,-78.06326293303829,-107.86047314342639,-20.76239704747225
33460,9,9,WIG,WOW,-77.57553770785995,-108.29897606555606,-20.742503927242453
33461,9,9,WIG,WOW,-77.08781248268161,-108.73747898768573,-20.722610807012657
33462,9,9,WIG,WOW,-76.60008725750328,-109.1759819098154,-20.70271768678286
33463,9,9,WIG,WOW,-76.11236203232494,-109.61448483194508,-20.682824566553066
33464,9,9,WIG,WOW,-75.6246368071466,-110.05298775407475,-20.66293144632327
33465,9,9,WIG,WOW,-75.13691158196826,-110.49149067620442,-20.643038326093475
33466,9,9,WIG,WOW,-74.64918635678993,-110.9299935983341,-20.62314520586368
33467,9,9,WIG,WOW,-74.16146113161159,-111.36849652046376,-20.603252085633883
33468,9,9,WIG,WOW,-73.67373590643325,-111.80699944259344,-20.583358965404088
33469,9,9,WIG,WOW,-73.18601068125491,-112.24550236472311,-20.563465845174292
33470,9,9,WIG,WOW,-72.69828545607658,-112.68400528685278,-20.543572724944497
33471,9,9,WIG,WOW,-72.21056023089824,-113.12250820898245,-20.5236796047147
33472,9,9,WIG,WOW,-71.7228350057199,-113.56101113111212,-20.503786484484905
33473,9,9,WIG,WOW,-71.23510978054156,-113.9995140532418,-20.48389336425511
33474,9,9,WIG,WOW,-70.74738455536323,-114.43801697537147,-20.464000244025314
33475,9,9,WIG,WOW,-70.25965933018489,-114.87651989750114,-20.44410712379552
33476,9,9,WIG,WOW,-69.77193410500655,-115.31502281963081,-20.424214003565723
33477,9,9,WIG,WOW,-69.28420887982821,-115.75352574176048,-20.404320883335927
33478,9,9,WIG,WOW,-68.79648365464988,-116.19202866389016,-20.38442776310613
33479,9,9,WIG,WOW,-68.30875842947154,-116.63053158601983,-20.364534642876336
33480,9,9,WIG,WOW,-67.8210332042932,-117.0690345081495,-20.34464152264654
33481,9,9,WIG,WOW,-67.33330797911486,-117.50753743027917,-20.324748402416745
33482,9,9,WIG,WOW,-66.84558275393653,-117.94604035240884,-20.30485528218695
33483,9,9,WIG,WOW,-66.35785752875819,-118.38454327453852,-20.284962161957154
33484,9,9,WIG,WOW,-65.87013230357985,-118.82304619666819,-20.265069041727358
33485,9,9,WIG,WOW,-65.38240707840151,-119.26154911879786,-20.245175921497562
33486,9,9,WIG,WOW,-64.89468185322318,-119.70005204092753,-20.225282801267767
