Bar_name,Modules,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer
IVY-TUX,2,94.59196259,-11.23492602,-23.19177837,107.8582086,13.11335398,-16.07717937,IVY_TUX,IVY-TUX-2,"['SKY', 'EYE', 'FOX', 'LUG', 'PAY', 'GAS']",IVY-2_TUX-2,"['IVY-SKY-2', 'EYE-IVY-7', 'FOX-TUX-2', 'LUG-TUX-8', 'PAY-TUX-8', 'GAS-TUX-11']","['IVY-SKY', 'EYE-IVY', 'FOX-TUX', 'LUG-TUX', 'PAY-TUX', 'GAS-TUX']","['SKY-2', 'EYE-7', 'FOX-2', 'LUG-8', 'PAY-8', 'GAS-11']",0,in_to_out
AHI-JUG,7,-5.433488406,34.45504998,64.71688063,39.02183059,37.92189098,71.05300363,AHI_JUG,AHI-JUG-7,"['ERA', 'IRE', 'EON', 'JOB', 'PLY', 'NIL', 'RIB', 'SOY', 'MOP']",AHI-7_JUG-6,"['AHI-ERA-7', 'AHI-IRE-7', 'AHI-EON-7', 'JOB-JUG-5', 'JUG-PLY-5', 'JUG-NIL-5', 'JUG-PLY-6', 'JUG-RIB-6', 'JUG-SOY-6', 'JUG-MOP-6']","['AHI-ERA', 'AHI-IRE', 'AHI-EON', 'JOB-JUG', 'JUG-PLY', 'JUG-NIL', 'JUG-RIB', 'JUG-SOY', 'JUG-MOP']","['ERA-7', 'IRE-7', 'EON-7', 'JOB-5', 'PLY-5', 'NIL-5', 'PLY-6', 'RIB-6', 'SOY-6', 'MOP-6']",0,outer
JAR-WHY,8,84.01051459,-61.09995302,-46.44022937,93.63453159,-54.19003002,-20.31834037,JAR_WHY,JAR-WHY-8,"['BAM', 'WIN', 'YAY', 'SAW', 'KEG', 'LUG', 'PAY', 'TAR']",JAR-8_WHY-8,"['BAM-JAR-8', 'JAR-WIN-8', 'JAR-YAY-8', 'JAR-SAW-8', 'KEG-WHY-8', 'LUG-WHY-8', 'PAY-WHY-8', 'SAW-WHY-8', 'TAR-WHY-8']","['BAM-JAR', 'JAR-WIN', 'JAR-YAY', 'JAR-SAW', 'KEG-WHY', 'LUG-WHY', 'PAY-WHY', 'SAW-WHY', 'TAR-WHY']","['BAM-8', 'WIN-8', 'YAY-8', 'SAW-8', 'KEG-8', 'LUG-8', 'PAY-8', 'SAW-8', 'TAR-8']",0,in_to_out
HAM-NAN,6,-78.12024741,6.428795983,41.61903863,-56.65210441,24.70875698,43.02018763,HAM_NAN,HAM-NAN-6,"['ACT', 'DUH', 'LAX', 'ZZZ', 'ICE', 'ASH', 'FAN', 'MOP']",HAM-6_NAN-6,"['ACT-HAM-6', 'DUH-HAM-6', 'HAM-LAX-6', 'HAM-ZZZ-6', 'HAM-ICE-6', 'ASH-HAM-12', 'FAN-NAN-6', 'MOP-NAN-6']","['ACT-HAM', 'DUH-HAM', 'HAM-LAX', 'HAM-ZZZ', 'HAM-ICE', 'ASH-HAM', 'FAN-NAN', 'MOP-NAN']","['ACT-6', 'DUH-6', 'LAX-6', 'ZZZ-6', 'ICE-6', 'ASH-12', 'FAN-6', 'MOP-6']",0,in_to_out
DRY-FUN,5,-56.95802341,81.21320698,25.78648963,-41.77578841,99.52146798,46.46754063,DRY_FUN,DRY-FUN-5,"['OIL', 'REF', 'SHY', 'FLY', 'NAY', 'VOW', 'FAN']",DRY-5_FUN-5,"['DRY-OIL-5', 'DRY-REF-5', 'DRY-SHY-5', 'DRY-FLY-5', 'FUN-NAY-5', 'FUN-VOW-5', 'FAN-FUN-6']","['DRY-OIL', 'DRY-REF', 'DRY-SHY', 'DRY-FLY', 'FUN-NAY', 'FUN-VOW', 'FAN-FUN']","['OIL-5', 'REF-5', 'SHY-5', 'FLY-5', 'NAY-5', 'VOW-5', 'FAN-6']",0,outer
LID-MOM,3,-84.88109141,66.12933398,-99.65481637,-75.29686741,89.53200898,-64.08417237,LID_MOM,LID-MOM-3,"['AIM', 'EGO', 'GYM', 'WAX', 'BOX', 'HUG', 'MIX']",LID-3_MOM-3,"['AIM-LID-3', 'EGO-LID-3', 'GYM-LID-3', 'LID-WAX-3', 'BOX-LID-4', 'HUG-LID-4', 'EGO-MOM-3', 'MIX-MOM-3', 'MOM-WAX-3']","['AIM-LID', 'EGO-LID', 'GYM-LID', 'LID-WAX', 'BOX-LID', 'HUG-LID', 'EGO-MOM', 'MIX-MOM', 'MOM-WAX']","['AIM-3', 'EGO-3', 'GYM-3', 'WAX-3', 'BOX-4', 'HUG-4', 'EGO-3', 'MIX-3', 'WAX-3']",0,inner
LIE-ZOO,11,25.37320059,-79.92789602,45.84201263,53.59552959,-71.04085602,52.34109163,LIE_ZOO,LIE-ZOO-11,"['HOT', 'EVE', 'COW', 'FAX', 'JAM', 'WAS']",LIE-11_ZOO-11,"['HOT-LIE-13', 'EVE-LIE-14', 'COW-ZOO-11', 'FAX-ZOO-11', 'JAM-ZOO-11', 'WAS-ZOO-11']","['HOT-LIE', 'EVE-LIE', 'COW-ZOO', 'FAX-ZOO', 'JAM-ZOO', 'WAS-ZOO']","['HOT-13', 'EVE-14', 'COW-11', 'FAX-11', 'JAM-11', 'WAS-11']",0,in_to_out
GUN-OFF,2,79.07137459,60.63561298,-81.79092937,82.23037459,83.33962298,-50.55793937,GUN_OFF,GUN-OFF-2,"['FRO', 'JOY', 'WHO', 'TUB', 'ASK', 'CIS', 'TAG', 'ORC']",GUN-2_OFF-2,"['FRO-GUN-1', 'GUN-JOY-1', 'GUN-WHO-1', 'GUN-TUB-2', 'ASK-OFF-2', 'CIS-OFF-2', 'OFF-TAG-2', 'OFF-ORC-2', 'OFF-WHO-2']","['FRO-GUN', 'GUN-JOY', 'GUN-WHO', 'GUN-TUB', 'ASK-OFF', 'CIS-OFF', 'OFF-TAG', 'OFF-ORC', 'OFF-WHO']","['FRO-1', 'JOY-1', 'WHO-1', 'TUB-2', 'ASK-2', 'CIS-2', 'TAG-2', 'ORC-2', 'WHO-1']",0,inner
ONO-USE,9,-88.90182941,-98.69556402,-63.50000837,-66.40635841,-62.98485202,-51.81747737,ONO_USE,ONO-USE-9,"['BAR', 'ELK', 'KIT', 'SIR', 'TAT', 'COP', 'WIG', 'NEW']",ONO-9_USE-9,"['BAR-ONO-9', 'ELK-ONO-9', 'KIT-ONO-9', 'ONO-SIR-9', 'ONO-TAT-9', 'COP-USE-9', 'TAT-USE-9', 'USE-WIG-9', 'NEW-USE-10']","['BAR-ONO', 'ELK-ONO', 'KIT-ONO', 'ONO-SIR', 'ONO-TAT', 'COP-USE', 'TAT-USE', 'USE-WIG', 'NEW-USE']","['BAR-9', 'ELK-9', 'KIT-9', 'SIR-9', 'TAT-9', 'COP-9', 'TAT-9', 'WIG-9', 'NEW-10']",0,outer
HOW-WAR,1_5,3.807477594,116.592725,1.885876628,24.28645659,118.646189,23.27937763,HOW_WAR,HOW-WAR-1_HOW-WAR-5,"['PIE', 'SHY', 'DUB', 'GAL', 'ADO', 'BOA']",HOW-1_WAR-1_HOW-5_WAR-5,"['HOW-PIE-1', 'HOW-SHY-5', 'DUB-WAR-1', 'GAL-WAR-1', 'DUB-WAR-5', 'ADO-WAR-5', 'BOA-WAR-5']","['HOW-PIE', 'HOW-SHY', 'DUB-WAR', 'GAL-WAR', 'ADO-WAR', 'BOA-WAR']","['PIE-1', 'SHY-5', 'DUB-1', 'GAL-1', 'DUB-5', 'ADO-5', 'BOA-5']",0,in_to_out
BAM-CIS,8,73.08419059,-39.61716802,-83.34339637,85.32510359,11.66894898,-82.83059537,BAM_CIS,BAM-CIS-8,"['BAH', 'JAR', 'YAY', 'HAY', 'ETA', 'WIN', 'BOY', 'ORC', 'OFF']",BAM-8_CIS-2,"['BAH-BAM-8', 'BAM-JAR-8', 'BAM-YAY-8', 'BAM-HAY-8', 'BAM-ETA-8', 'BAM-WIN-8', 'BAH-CIS-2', 'BOY-CIS-2', 'CIS-ORC-2', 'CIS-ETA-2', 'CIS-OFF-2']","['BAH-BAM', 'BAM-JAR', 'BAM-YAY', 'BAM-HAY', 'BAM-ETA', 'BAM-WIN', 'BAH-CIS', 'BOY-CIS', 'CIS-ORC', 'CIS-ETA', 'CIS-OFF']","['BAH-8', 'JAR-8', 'YAY-8', 'HAY-8', 'ETA-8', 'WIN-8', 'BAH-2', 'BOY-2', 'ORC-2', 'ETA-2', 'OFF-2']",1,inner
NIL-TOY,5_7,22.39774359,54.72796798,50.77433863,37.08808359,80.90008598,53.34773463,NIL_TOY,NIL-TOY-5_NIL-TOY-7,"['JUG', 'EON', 'ADO', 'DUB', 'JOB', 'WET']",NIL-5_TOY-5_NIL-7_TOY-7,"['JUG-NIL-5', 'EON-NIL-7', 'ADO-TOY-5', 'DUB-TOY-5', 'JOB-TOY-5', 'EON-TOY-7', 'TOY-WET-7']","['JUG-NIL', 'EON-NIL', 'ADO-TOY', 'DUB-TOY', 'JOB-TOY', 'EON-TOY', 'TOY-WET']","['JUG-5', 'EON-7', 'ADO-5', 'DUB-5', 'JOB-5', 'EON-7', 'WET-7']",0,in_to_out
ALL-RUG,10,-21.26114741,-146.611042,5.949316628,-19.93212741,-138.6957,32.20581763,ALL_RUG,ALL-RUG-10,"['GOO', 'EGG', 'SAD', 'PIG', 'PRO', 'FOR', 'GET', 'HIP']",ALL-10_RUG-10,"['ALL-GOO-10', 'ALL-EGG-10', 'ALL-SAD-10', 'ALL-PIG-10', 'ALL-PRO-10', 'FOR-RUG-10', 'GET-RUG-10', 'HIP-RUG-10']","['ALL-GOO', 'ALL-EGG', 'ALL-SAD', 'ALL-PIG', 'ALL-PRO', 'FOR-RUG', 'GET-RUG', 'HIP-RUG']","['GOO-10', 'EGG-10', 'SAD-10', 'PIG-10', 'PRO-13', 'FOR-10', 'GET-10', 'HIP-10']",0,in_to_out
DAY-ZIG,4,-112.1824644,29.94447198,-30.73944437,-94.73552341,49.38235198,-26.25327037,DAY_ZIG,DAY-ZIG-4,"['PAW', 'SAY', 'TAX', 'OAR']",DAY-4_ZIG-4,"['DAY-PAW-4', 'PAW-ZIG-4', 'SAY-ZIG-4', 'TAX-ZIG-4', 'OAR-ZIG-3']","['DAY-PAW', 'PAW-ZIG', 'SAY-ZIG', 'TAX-ZIG', 'OAR-ZIG']","['PAW-4', 'PAW-4', 'SAY-4', 'TAX-4', 'OAR-3']",0,in_to_out
EGG-MOO,10,4.830568594,-149.573482,21.92542263,31.52915659,-135.876097,28.76128663,EGG_MOO,EGG-MOO-10,"['ALL', 'DAD', 'FOR', 'GEL', 'PIG', 'JAM']",EGG-10_MOO-10,"['ALL-EGG-10', 'DAD-EGG-10', 'EGG-FOR-10', 'GEL-MOO-10', 'MOO-PIG-10', 'JAM-MOO-13']","['ALL-EGG', 'DAD-EGG', 'EGG-FOR', 'GEL-MOO', 'MOO-PIG', 'JAM-MOO']","['ALL-10', 'DAD-10', 'FOR-10', 'GEL-10', 'PIG-10', 'JAM-13']",0,outer
FRO-GUN,1,80.21752159,86.71068098,-76.93202537,83.11559959,92.49394598,-50.51652737,FRO_GUN,FRO-GUN-1,"['RAW', 'WHO', 'ASK', 'JOY', 'OFF', 'TUB']",FRO-1_GUN-1,"['FRO-RAW-1', 'FRO-WHO-1', 'ASK-FRO-2', 'GUN-JOY-1', 'GUN-WHO-1', 'GUN-OFF-2', 'GUN-TUB-2']","['FRO-RAW', 'FRO-WHO', 'ASK-FRO', 'GUN-JOY', 'GUN-WHO', 'GUN-OFF', 'GUN-TUB']","['RAW-1', 'WHO-1', 'ASK-2', 'JOY-1', 'WHO-1', 'OFF-2', 'TUB-2']",0,in_to_out
BED-ICE,4,-101.4324874,-6.208093017,-12.62538737,-96.50953441,2.363567983,14.99575363,BED_ICE,BED-ICE-4,"['PAW', 'CHI', 'GIN', 'SAY', 'HAM', 'MAD']",BED-4_ICE-4,"['BED-PAW-4', 'BED-CHI-9', 'GIN-ICE-4', 'ICE-SAY-4', 'GIN-ICE-6', 'HAM-ICE-6', 'ICE-MAD-6']","['BED-PAW', 'BED-CHI', 'GIN-ICE', 'ICE-SAY', 'HAM-ICE', 'ICE-MAD']","['PAW-4', 'CHI-9', 'GIN-4', 'SAY-4', 'GIN-6', 'HAM-6', 'MAD-12']",0,in_to_out
AIM-MIX,3,-85.39764441,95.01491398,-91.98091537,-82.31358541,116.370628,-59.92703137,AIM_MIX,AIM-MIX-3,"['LID', 'EGO', 'WAX', 'ALA', 'GUT', 'HEX', 'MOM', 'OAR']",AIM-3_MIX-3,"['AIM-LID-3', 'AIM-EGO-3', 'AIM-WAX-3', 'ALA-MIX-3', 'GUT-MIX-3', 'HEX-MIX-3', 'MIX-MOM-3', 'MIX-OAR-3', 'MIX-WAX-3']","['AIM-LID', 'AIM-EGO', 'AIM-WAX', 'ALA-MIX', 'GUT-MIX', 'HEX-MIX', 'MIX-MOM', 'MIX-OAR', 'MIX-WAX']","['LID-3', 'EGO-3', 'WAX-3', 'ALA-3', 'GUT-3', 'HEX-3', 'MOM-3', 'OAR-3', 'WAX-3']",0,outer
AGE-SIR,9,-90.54446141,-39.40249202,-81.99597937,-85.17058541,-36.93601502,-41.39540837,AGE_SIR,AGE-SIR-9,"['KIT', 'DOG', 'BAR', 'ELK', 'ONO', 'TAT', 'CUP', 'FLU', 'HUG']",AGE-9_SIR-9,"['AGE-KIT-9', 'AGE-DOG-9', 'AGE-BAR-9', 'BAR-SIR-9', 'ELK-SIR-9', 'ONO-SIR-9', 'SIR-TAT-9', 'CUP-SIR-4', 'FLU-SIR-4', 'HUG-SIR-4']","['AGE-KIT', 'AGE-DOG', 'AGE-BAR', 'BAR-SIR', 'ELK-SIR', 'ONO-SIR', 'SIR-TAT', 'CUP-SIR', 'FLU-SIR', 'HUG-SIR']","['KIT-9', 'DOG-9', 'BAR-9', 'BAR-9', 'ELK-9', 'ONO-9', 'TAT-9', 'CUP-4', 'FLU-4', 'HUG-4']",0,inner
ELF-PIE,1,18.90968059,109.975758,-30.11467737,42.59283659,136.201273,-1.147938372,ELF_PIE,ELF-PIE-1,"['BIO', 'DUB', 'GAL', 'HOW', 'NIX', 'OVA', 'RUM']",ELF-1_PIE-1,"['BIO-ELF-1', 'DUB-ELF-1', 'ELF-GAL-1', 'GAL-PIE-1', 'HOW-PIE-1', 'NIX-PIE-1', 'OVA-PIE-1', 'PIE-RUM-1']","['BIO-ELF', 'DUB-ELF', 'ELF-GAL', 'GAL-PIE', 'HOW-PIE', 'NIX-PIE', 'OVA-PIE', 'PIE-RUM']","['BIO-1', 'DUB-1', 'GAL-1', 'GAL-1', 'HOW-1', 'NIX-1', 'OVA-1', 'RUM-5']",0,inner
