Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
29,14,14,ERA,IRE,28.344418286587572,3.2031703925863813,66.27882772776933
30,14,14,ERA,IRE,28.848087069228523,2.807692406813498,66.42190590355447
31,14,14,ERA,IRE,29.351755851869473,2.4122144210406145,66.56498407933962
32,14,14,ERA,IRE,29.855424634510424,2.016736435267731,66.70806225512477
33,14,14,ERA,IRE,30.359093417151374,1.6212584494948479,66.85114043090992
34,14,14,ERA,IRE,30.862762199792325,1.2257804637219647,66.99421860669507
35,14,14,ERA,IRE,31.366430982433275,0.8303024779490815,67.13729678248022
36,14,14,ERA,IRE,31.870099765074226,0.43482449217619834,67.28037495826537
37,14,14,ERA,IRE,32.37376854771518,0.03934650640331516,67.42345313405052
38,14,14,ERA,IRE,32.87743733035613,-0.356131479369568,67.56653130983567
39,14,14,ERA,IRE,33.38110611299708,-0.7516094651424512,67.70960948562082
40,14,14,ERA,IRE,33.88477489563803,-1.1470874509153344,67.85268766140597
41,14,14,ERA,IRE,34.38844367827898,-1.5425654366882176,67.99576583719112
42,14,14,ERA,IRE,34.89211246091993,-1.9380434224611007,68.13884401297626
43,14,14,ERA,IRE,35.39578124356088,-2.3335214082339837,68.28192218876141
44,14,14,ERA,IRE,35.89945002620183,-2.728999394006867,68.42500036454656
45,14,14,ERA,IRE,36.403118808842784,-3.1244773797797505,68.56807854033171
46,14,14,ERA,IRE,36.906787591483734,-3.519955365552634,68.71115671611686
47,14,14,ERA,RIB,13.423339802489332,14.262249631324124,62.534046704934134
48,14,14,ERA,RIB,13.108656014978665,13.852467282648249,62.93853277986827
49,14,14,ERA,RIB,12.793972227467998,13.442684933972373,63.3430188548024
50,14,14,ERA,RIB,12.479288439957331,13.032902585296497,63.747504929736536
51,14,14,ERA,RIB,12.164604652446664,12.623120236620622,64.15199100467068
52,14,14,ERA,RIB,11.849920864935997,12.213337887944746,64.55647707960482
53,14,14,ERA,RIB,11.53523707742533,11.80355553926887,64.96096315453896
54,14,14,ERA,RIB,11.220553289914664,11.393773190592995,65.3654492294731
55,14,14,ERA,RIB,10.905869502403997,10.98399084191712,65.76993530440724
56,14,14,ERA,RIB,10.59118571489333,10.574208493241244,66.17442137934138
57,14,14,ERA,RIB,10.276501927382663,10.164426144565368,66.57890745427552
58,14,14,ERA,RIB,9.961818139871996,9.754643795889493,66.98339352920966
59,14,14,ERA,RIB,9.647134352361329,9.344861447213617,67.3878796041438
60,14,14,ERA,RIB,9.332450564850662,8.935079098537742,67.79236567907795
61,14,14,ERA,RIB,9.017766777339995,8.525296749861866,68.19685175401209
62,14,14,ERA,RIB,8.703082989829328,8.11551440118599,68.60133782894623
