Pixel_i,Module1,Module2,Node1,Node2,X,Y,Z
11722,5,5,FUN,PLY,-29.54283260842978,64.98297018371312,47.30357220389438
11723,5,5,FUN,PLY,-29.148221130959776,64.45941415802645,47.33054096434259
11724,5,5,FUN,PLY,-28.75360965348977,63.935858132339774,47.357509724790795
11725,5,5,FUN,PLY,-28.358998176019767,63.4123021066531,47.384478485239
11726,5,5,FUN,PLY,-27.964386698549763,62.88874608096643,47.41144724568721
11727,5,5,FUN,PLY,-27.56977522107976,62.365190055279754,47.43841600613541
11728,5,5,FUN,PLY,-27.175163743609755,61.84163402959308,47.46538476658362
11729,5,5,FUN,PLY,-26.78055226613975,61.31807800390641,47.492353527031824
11730,5,5,FUN,PLY,-26.385940788669746,60.794521978219734,47.51932228748003
11731,5,5,FUN,PLY,-25.991329311199742,60.27096595253306,47.546291047928236
11732,5,5,FUN,PLY,-25.596717833729738,59.74740992684639,47.57325980837644
11733,5,5,FUN,PLY,-25.202106356259733,59.223853901159714,47.60022856882465
11734,5,5,FUN,PLY,-24.80749487878973,58.70029787547304,47.62719732927285
11735,5,5,FUN,PLY,-24.412883401319725,58.17674184978637,47.65416608972106
11736,5,5,FUN,PLY,-24.01827192384972,57.653185824099694,47.681134850169265
11737,5,5,FUN,PLY,-23.623660446379716,57.12962979841302,47.70810361061747
11738,5,5,FUN,PLY,-23.229048968909712,56.60607377272635,47.73507237106568
11739,5,5,FUN,PLY,-22.834437491439708,56.082517747039674,47.76204113151388
11740,5,5,FUN,PLY,-22.439826013969704,55.558961721353,47.78900989196209
11741,5,5,FUN,PLY,-22.0452145364997,55.03540569566633,47.815978652410294
11742,5,5,FUN,REF,-41.48320777300071,81.58160272263967,46.01011567234897
11743,5,5,FUN,REF,-41.19062713600142,81.94999846527935,45.55269071469793
11744,5,5,FUN,REF,-40.89804649900213,82.31839420791903,45.095265757046896
11745,5,5,FUN,REF,-40.60546586200284,82.6867899505587,44.63784079939586
11746,5,5,FUN,REF,-40.31288522500355,83.05518569319838,44.180415841744825
11747,5,5,FUN,REF,-40.02030458800426,83.42358143583806,43.72299088409379
11748,5,5,FUN,REF,-39.72772395100497,83.79197717847774,43.265565926442754
11749,5,5,FUN,REF,-39.43514331400568,84.16037292111741,42.80814096879172
11750,5,5,FUN,REF,-39.14256267700639,84.52876866375709,42.35071601114068
11751,5,5,FUN,REF,-38.8499820400071,84.89716440639677,41.89329105348965
11752,5,5,FUN,REF,-38.55740140300781,85.26556014903645,41.43586609583861
11753,5,5,FUN,REF,-38.26482076600852,85.63395589167612,40.97844113818758
11754,5,5,FUN,REF,-37.97224012900923,86.0023516343158,40.52101618053654
11755,5,5,FUN,REF,-37.67965949200994,86.37074737695548,40.063591222885506
11756,5,5,FUN,REF,-37.38707885501065,86.73914311959516,39.60616626523447
11757,5,5,FUN,REF,-37.09449821801136,87.10753886223483,39.148741307583435
11758,5,5,FUN,REF,-36.80191758101207,87.47593460487451,38.6913163499324
11759,5,5,FUN,REF,-36.50933694401278,87.84433034751419,38.233891392281365
11760,5,5,FUN,REF,-36.21675630701349,88.21272609015386,37.77646643463033
11761,5,5,FUN,REF,-35.9241756700142,88.58112183279354,37.319041476979294
11762,5,5,FUN,REF,-35.63159503301491,88.94951757543322,36.86161651932826
11763,5,5,FUN,REF,-35.33901439601562,89.3179133180729,36.40419156167722
11764,5,5,FUN,REF,-35.04643375901633,89.68630906071257,35.94676660402619
11765,5,5,FUN,REF,-34.75385312201704,90.05470480335225,35.48934164637515
11766,5,5,FUN,REF,-34.46127248501775,90.42310054599193,35.03191668872412
11767,5,5,FUN,REF,-34.16869184801846,90.7914962886316,34.57449173107308
11768,5,5,FUN,REF,-33.87611121101917,91.15989203127128,34.117066773422046
11769,5,5,FUN,REF,-33.58353057401988,91.52828777391096,33.65964181577101
11770,5,5,FUN,REF,-33.29094993702059,91.89668351655064,33.202216858119975
11771,5,5,FUN,REF,-32.9983693000213,92.26507925919032,32.74479190046894
11772,5,5,FUN,REF,-32.70578866302201,92.63347500182999,32.287366942817904
11773,5,5,FUN,REF,-32.41320802602272,93.00187074446967,31.829941985166872
11774,5,5,FUN,REF,-32.12062738902343,93.37026648710935,31.37251702751584
11775,5,5,FUN,REF,-31.82804675202414,93.73866222974902,30.91509206986481
11776,5,5,FUN,REF,-31.535466115024846,94.1070579723887,30.457667112213777
11777,5,5,FUN,REF,-31.242885478025553,94.47545371502838,30.000242154562745
11778,5,5,FUN,REF,-30.95030484102626,94.84384945766806,29.542817196911713
11779,5,5,FUN,REF,-30.657724204026966,95.21224520030773,29.08539223926068
11780,5,5,FUN,REF,-30.365143567027673,95.58064094294741,28.62796728160965
11781,5,5,FUN,REF,-30.07256293002838,95.94903668558709,28.170542323958617
11782,5,5,FUN,REF,-29.779982293029086,96.31743242822677,27.713117366307586
11783,5,5,FUN,REF,-29.487401656029792,96.68582817086644,27.255692408656554
11784,5,5,FUN,REF,-29.1948210190305,97.05422391350612,26.798267451005522
11785,5,5,FUN,REF,-28.902240382031206,97.4226196561458,26.34084249335449
11786,5,5,FUN,REF,-28.609659745031912,97.79101539878548,25.883417535703458
11787,5,5,HOW,REF,3.315982676953844,116.30736146729203,4.606603230482409
11788,5,5,HOW,REF,2.8244877599076883,116.02199793458405,4.9345618329648175
11789,5,5,HOW,REF,2.3329928428615325,115.73663440187607,5.262520435447226
11790,5,5,HOW,REF,1.8414979258153767,115.4512708691681,5.590479037929635
11791,5,5,HOW,REF,1.350003008769221,115.16590733646012,5.918437640412043
11792,5,5,HOW,REF,0.8585080917230651,114.88054380375215,6.246396242894452
11793,5,5,HOW,REF,0.3670131746769092,114.59518027104417,6.5743548453768605
11794,5,5,HOW,REF,-0.1244817423692467,114.3098167383362,6.902313447859269
11795,5,5,HOW,REF,-0.6159766594154026,114.02445320562822,7.230272050341678
11796,5,5,HOW,REF,-1.1074715764615584,113.73908967292024,7.558230652824086
11797,5,5,HOW,REF,-1.5989664935077141,113.45372614021227,7.886189255306495
11798,5,5,HOW,REF,-2.09046141055387,113.16836260750429,8.214147857788904
11799,5,5,HOW,REF,-2.5819563276000257,112.88299907479632,8.542106460271313
11800,5,5,HOW,REF,-3.0734512446461815,112.59763554208834,8.870065062753723
11801,5,5,HOW,REF,-3.5649461616923372,112.31227200938037,9.198023665236132
11802,5,5,HOW,REF,-4.0564410787384935,112.02690847667239,9.525982267718542
11803,5,5,HOW,REF,-4.547935995784649,111.74154494396441,9.853940870200951
11804,5,5,HOW,REF,-5.039430912830805,111.45618141125644,10.18189947268336
11805,5,5,HOW,REF,-5.530925829876961,111.17081787854846,10.50985807516577
11806,5,5,HOW,REF,-6.022420746923117,110.88545434584049,10.83781667764818
11807,5,5,HOW,REF,-6.513915663969272,110.60009081313251,11.165775280130589
11808,5,5,HOW,REF,-7.005410581015428,110.31472728042453,11.493733882612998
11809,5,5,HOW,REF,-7.496905498061584,110.02936374771656,11.821692485095408
11810,5,5,HOW,REF,-7.98840041510774,109.74400021500858,12.149651087577817
11811,5,5,HOW,REF,-8.479895332153896,109.45863668230061,12.477609690060227
11812,5,5,HOW,REF,-8.971390249200052,109.17327314959263,12.805568292542636
11813,5,5,HOW,REF,-9.462885166246208,108.88790961688466,13.133526895025046
11814,5,5,HOW,REF,-9.954380083292364,108.60254608417668,13.461485497507455
11815,5,5,HOW,REF,-10.44587500033852,108.3171825514687,13.789444099989865
11816,5,5,HOW,REF,-10.937369917384675,108.03181901876073,14.117402702472274
11817,5,5,HOW,REF,-11.428864834430831,107.74645548605275,14.445361304954684
11818,5,5,HOW,REF,-11.920359751476987,107.46109195334478,14.773319907437093
11819,5,5,HOW,REF,-12.411854668523143,107.1757284206368,15.101278509919503
11820,5,5,HOW,REF,-12.903349585569298,106.89036488792883,15.429237112401912
11821,5,5,HOW,REF,-13.394844502615454,106.60500135522085,15.757195714884322
