Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground
EGG,4.830568594,-149.573482,21.92542263,EGG-10,ALL_DAD_RUG_FOR_MOO,ALL-EGG_DAD-EGG_EGG-RUG_EGG-FOR_EGG-MOO,ALL-EGG-10_DAD-EGG-10_EGG-RUG-10_EGG-FOR-10_EGG-MOO-10,ALL-10_DAD-10_RUG-10_FOR-10_MOO-10,0
SAW,77.17590359,-85.93446502,-36.31063437,SAW-8,AMP_HAY_JAR_TAR_WHY,AMP-SAW_HAY-SAW_JAR-SAW_SAW-TAR_SAW-WHY,AMP-SAW-8_HAY-SAW-8_JAR-SAW-8_SAW-TAR-8_SAW-WHY-8,AMP-8_HAY-8_JAR-8_TAR-8_WHY-8,0
TAT,-57.91414741,-66.76327302,-74.08673237,TAT-9,COP_ELK_ONO_SIR,COP-TAT_ELK-TAT_ONO-TAT_SIR-TAT,COP-TAT-9_ELK-TAT-9_ONO-TAT-9_SIR-TAT-9,COP-9_ELK-9_ONO-9_SIR-9,1
SPY,57.90937859,124.876711,-41.34419237,SPY-1,JOY_LEG_NIX_RAD_RAW,JOY-SPY_LEG-SPY_NIX-SPY_RAD-SPY_RAW-SPY,JOY-SPY-1_LEG-SPY-1_NIX-SPY-1_RAD-SPY-1_RAW-SPY-1,JOY-1_LEG-1_NIX-1_RAD-1_RAW-1,0
RAD,45.56589559,135.015985,-17.33008237,RAD-1,BIO_GAL_OVA_PIE_SPY,BIO-RAD_GAL-RAD_OVA-RAD_PIE-RAD_RAD-SPY,BIO-RAD-1_GAL-RAD-1_OVA-RAD-1_PIE-RAD-1_RAD-SPY-1,BIO-1_GAL-1_OVA-1_PIE-1_SPY-1,0
ACE,82.95430959,41.79066798,19.02546163,ACE-7,BRO_YES_SUN_POP_HIT,ACE-BRO_ACE-YES_ACE-SUN_ACE-POP_ACE-HIT,ACE-BRO-7_ACE-YES-7_ACE-SUN-7_ACE-POP-7_ACE-HIT-7,BRO-7_YES-7_SUN-7_POP-7_HIT-7,0
TAR,68.02249859,-76.41374802,-8.592402372,TAR-8_TAR-11,KEG_PHI_SAW_SEX_WHY,KEG-TAR_PHI-TAR_SAW-TAR_SEX-TAR_TAR-WHY,KEG-TAR-11_PHI-TAR-11_KEG-TAR-8_PHI-TAR-8_SAW-TAR-8_SEX-TAR-8_TAR-WHY-8,KEG-11_PHI-11_KEG-8_PHI-8_SAW-8_SEX-8_WHY-8,0
JOY,84.05906559,108.367809,-32.10448937,JOY-1,BIO_DIG_GUN_SPY,BIO-JOY_DIG-JOY_GUN-JOY_JOY-SPY,BIO-JOY-1_GUN-JOY-1_JOY-SPY-1_DIG-JOY-2,BIO-1_GUN-1_SPY-1_DIG-2,0
PRO,-20.54790941,-114.716143,50.09094763,PRO-13,ALL_HOT_ZAP_YAK,ALL-PRO_HOT-PRO_PRO-ZAP_PRO-YAK,HOT-PRO-13_PRO-ZAP-13_PRO-YAK-13_ALL-PRO-10,HOT-13_ZAP-13_YAK-13_ALL-10,0
PAW,-113.3547044,18.42387798,-36.97350437,PAW-4,CUP_DAY_DOG_SAY_ZIG,CUP-PAW_DAY-PAW_DOG-PAW_PAW-SAY_PAW-ZIG,CUP-PAW-4_DAY-PAW-4_DOG-PAW-4_PAW-SAY-4_PAW-ZIG-4,CUP-4_DAY-4_DOG-4_SAY-4_ZIG-4,0
