Pixel_i,Module1,Module2,Inner_Outer,Left_Right_Mid,Node1,Node2,X,Y,Z,Strip
3096,2,2,outer,left,OAR,ZIG,-105.96243968575581,48.663154068012176,-25.98388430085724,6
3097,2,2,outer,left,OAR,ZIG,-106.1090524047936,48.05167778191278,-25.7963798839001,6
3098,2,2,outer,left,OAR,ZIG,-106.25566512383139,47.44020149581338,-25.608875466942962,6
3099,2,2,outer,left,OAR,ZIG,-106.40227784286918,46.82872520971399,-25.421371049985822,6
3100,2,2,outer,left,OAR,ZIG,-106.54889056190697,46.21724892361459,-25.233866633028683,6
3101,2,2,outer,left,PAW,ZIG,-108.89239350462479,15.416044531562424,-29.99063201803785,7
3102,2,2,outer,left,PAW,ZIG,-108.85293212878943,16.058816983193523,-29.86476375569454,7
3103,2,2,outer,left,PAW,ZIG,-108.81347075295407,16.701589434824626,-29.73889549335123,7
3104,2,2,outer,left,PAW,ZIG,-108.77400937711872,17.34436188645573,-29.61302723100792,7
3105,2,2,outer,left,PAW,ZIG,-108.73454800128336,17.987134338086832,-29.48715896866461,7
3106,2,2,outer,left,PAW,ZIG,-108.695086625448,18.629906789717936,-29.3612907063213,7
3107,2,2,outer,left,PAW,ZIG,-108.65562524961264,19.27267924134904,-29.23542244397799,7
3108,2,2,outer,left,PAW,ZIG,-108.61616387377728,19.91545169298014,-29.109554181634678,7
3109,2,2,outer,left,PAW,ZIG,-108.57670249794192,20.558224144611245,-28.983685919291368,7
3110,2,2,outer,left,PAW,ZIG,-108.53724112210656,21.200996596242348,-28.857817656948058,7
3111,2,2,outer,left,PAW,ZIG,-108.4977797462712,21.84376904787345,-28.731949394604747,7
3112,2,2,outer,left,PAW,ZIG,-108.45831837043585,22.486541499504554,-28.606081132261437,7
3113,2,2,outer,left,PAW,ZIG,-108.41885699460049,23.129313951135657,-28.480212869918127,7
3114,2,2,outer,left,PAW,ZIG,-108.37939561876513,23.77208640276676,-28.354344607574816,7
3115,2,2,outer,left,PAW,ZIG,-108.33993424292977,24.414858854397863,-28.228476345231506,7
3116,2,2,outer,left,PAW,ZIG,-108.30047286709441,25.057631306028966,-28.102608082888196,7
3117,2,2,outer,left,PAW,ZIG,-108.26101149125905,25.70040375766007,-27.976739820544886,7
3118,2,2,outer,left,PAW,ZIG,-108.2215501154237,26.343176209291173,-27.850871558201575,7
3119,2,2,outer,left,PAW,ZIG,-108.18208873958834,26.985948660922276,-27.725003295858265,7
3120,2,2,outer,left,PAW,ZIG,-108.14262736375298,27.62872111255338,-27.599135033514955,7
3121,2,2,outer,left,PAW,ZIG,-108.10316598791762,28.271493564184482,-27.473266771171645,7
3122,2,2,outer,left,PAW,ZIG,-108.06370461208226,28.914266015815585,-27.347398508828334,7
3123,2,2,outer,left,PAW,ZIG,-108.0242432362469,29.557038467446688,-27.221530246485024,7
3124,2,2,outer,left,PAW,ZIG,-107.98478186041154,30.19981091907779,-27.095661984141714,7
3125,2,2,outer,left,PAW,ZIG,-107.94532048457619,30.842583370708894,-26.969793721798403,7
