Pixel_i,Module,Node1,Node2,X,Y,Z
10010,14,FOG,OLD,390.3513268053284,-43.993668848233746,152.9895824129441
10011,14,FOG,OLD,390.5423124321727,-44.611083609841536,152.87609256004222
10012,14,FOG,OLD,390.733298059017,-45.22849837144933,152.76260270714036
10013,14,FOG,OLD,390.92428368586127,-45.84591313305712,152.6491128542385
10014,14,FOG,OLD,391.11526931270555,-46.46332789466491,152.53562300133663
10015,14,FOG,OLD,391.30625493954983,-47.0807426562727,152.42213314843477
10016,14,FOG,OLD,391.4972405663941,-47.69815741788049,152.3086432955329
10017,14,FOG,OLD,391.6882261932384,-48.31557217948828,152.19515344263104
10018,14,FOG,OLD,391.8792118200827,-48.93298694109607,152.08166358972917
10019,14,FOG,OLD,392.07019744692695,-49.55040170270386,151.9681737368273
10020,14,FOG,OLD,392.26118307377124,-50.16781646431165,151.85468388392545
10021,14,FOG,OLD,392.4521687006155,-50.78523122591944,151.74119403102358
10022,14,FOG,OLD,392.6431543274598,-51.40264598752723,151.62770417812172
10023,14,FOG,OLD,392.8341399543041,-52.02006074913502,151.51421432521985
10024,14,FOG,OLD,393.02512558114836,-52.63747551074281,151.400724472318
10025,14,FOG,OLD,393.21611120799264,-53.2548902723506,151.28723461941613
10026,14,FOG,OLD,393.4070968348369,-53.87230503395839,151.17374476651426
10027,14,FOG,OLD,393.5980824616812,-54.48971979556618,151.0602549136124
10028,14,FOG,OLD,393.7890680885255,-55.10713455717397,150.94676506071053
10029,14,FOG,OLD,393.98005371536976,-55.72454931878176,150.83327520780867
10030,14,FOG,OLD,394.17103934221404,-56.34196408038955,150.7197853549068
10031,14,FOG,OLD,394.3620249690583,-56.95937884199734,150.60629550200494
10032,14,FOG,OLD,394.5530105959026,-57.57679360360513,150.49280564910308
10033,14,FOG,OLD,394.7439962227469,-58.19420836521292,150.3793157962012
10034,14,FOG,OLD,394.93498184959117,-58.81162312682071,150.26582594329935
10035,14,FOG,OLD,395.12596747643545,-59.4290378884285,150.15233609039748
10036,14,FOG,OLD,395.31695310327973,-60.046452650036294,150.03884623749562
10037,14,FOG,OLD,395.507938730124,-60.663867411644084,149.92535638459375
10038,14,FOG,OLD,395.6989243569683,-61.281282173251874,149.8118665316919
10039,14,FOG,OLD,395.8899099838126,-61.898696934859665,149.69837667879003
10040,14,GIG,IRE,438.3613431357252,-21.893611296343554,129.46304596701992
10041,14,GIG,IRE,438.22299927145036,-21.42404259268711,129.89999293403986
10042,14,GIG,IRE,438.08465540717555,-20.954473889030663,130.3369399010598
10043,14,GIG,IRE,437.94631154290073,-20.484905185374217,130.77388686807973
10044,14,GIG,IRE,437.8079676786259,-20.01533648171777,131.21083383509966
10045,14,GIG,IRE,437.6696238143511,-19.545767778061325,131.6477808021196
10046,14,GIG,IRE,437.5312799500763,-19.07619907440488,132.08472776913953
10047,14,GIG,IRE,437.39293608580147,-18.606630370748434,132.52167473615947
10048,14,GIG,IRE,437.25459222152665,-18.137061667091988,132.9586217031794
10049,14,GIG,IRE,437.11624835725183,-17.667492963435542,133.39556867019934
10050,14,GIG,IRE,436.977904492977,-17.197924259779096,133.83251563721927
10051,14,GIG,IRE,436.8395606287022,-16.72835555612265,134.2694626042392
10052,14,GIG,IRE,436.7012167644274,-16.258786852466205,134.70640957125914
10053,14,GIG,IRE,436.56287290015257,-15.789218148809757,135.14335653827908
10054,14,GIG,IRE,436.42452903587775,-15.31964944515331,135.580303505299
10055,14,GIG,IRE,436.28618517160294,-14.850080741496862,136.01725047231895
10056,14,GIG,IRE,436.1478413073281,-14.380512037840415,136.45419743933888
10057,14,GIG,IRE,436.0094974430533,-13.910943334183967,136.89114440635882
10058,14,GIG,IRE,435.8711535787785,-13.44137463052752,137.32809137337875
10059,14,GIG,IRE,435.7328097145037,-12.971805926871072,137.7650383403987
10060,14,GIG,IRE,435.59446585022886,-12.502237223214625,138.20198530741862
10061,14,GIG,IRE,435.45612198595404,-12.032668519558177,138.63893227443856
10062,14,GIG,IRE,435.3177781216792,-11.56309981590173,139.0758792414585
10063,14,GIG,IRE,435.1794342574044,-11.093531112245282,139.51282620847843
10064,14,GIG,IRE,435.0410903931296,-10.623962408588834,139.94977317549836
10065,14,GIG,IRE,434.9027465288548,-10.154393704932387,140.3867201425183
10066,14,GIG,IRE,434.76440266457996,-9.68482500127594,140.82366710953823
10067,14,GIG,IRE,434.62605880030515,-9.215256297619492,141.26061407655817
10068,14,GIG,IRE,434.48771493603033,-8.745687593963044,141.6975610435781
10069,14,GIG,IRE,434.3493710717555,-8.276118890306597,142.13450801059804
10070,14,GIG,IRE,434.2110272074807,-7.806550186650149,142.57145497761798
10071,14,GIG,IRE,434.0726833432059,-7.336981482993702,143.0084019446379
10072,14,GIG,IRE,433.93433947893107,-6.867412779337254,143.44534891165785
10073,14,GIG,IRE,433.79599561465625,-6.397844075680807,143.88229587867778
10074,14,GIG,IRE,433.65765175038143,-5.928275372024359,144.31924284569772
10075,14,GIG,IRE,433.5193078861066,-5.4587066683679115,144.75618981271765
10076,14,GIG,IRE,433.3809640218318,-4.989137964711464,145.19313677973759
